,the_geom,School_ID,Short_Name,Address,Grade_Cat,Lat,Long,Comm_Area
333,POINT (-87.71165364056992 41.82437732801645),610353,CALMECA,3456 W 38TH ST,ES,41.82437733,-87.71165364,58
334,POINT (-87.77657870907606 41.780191732055165),609960,HALE,6140 S MELVINA AVE,ES,41.78019173,-87.77657871,64
335,POINT (-87.77012725796692 41.93493062290806),610539,CAMRAS,3000 N MANGO AVE,ES,41.93493062,-87.77012726,19
336,POINT (-87.70249639568893 41.98758868268868),609724,MATHER HS,5835 N LINCOLN AVE,HS,41.98758868,-87.7024964,2
337,POINT (-87.62714768792199 41.69626234793678),610208,LAVIZZO,138 W 109TH ST,ES,41.69626235,-87.62714769,49
338,POINT (-87.66794916954753 41.859504008311255),400081,ACERO - DE LAS CASAS,1641 W 16TH ST,ES,41.85950401,-87.66794917,31
339,POINT (-87.76119046881557 41.93040331628871),610165,SCHUBERT,2727 N LONG AVE,ES,41.93040332,-87.76119047,19
340,POINT (-87.71563237169228 41.9589887978418),609988,HENRY,4250 N SAINT LOUIS AVE,ES,41.9589888,-87.71563237,16
341,POINT (-87.68893676244515 41.896712688971974),609854,CHOPIN,2450 W RICE ST,ES,41.89671269,-87.68893676,24
342,POINT (-87.68444182735206 42.01014998457512),609779,ARMSTRONG G,2110 W GREENLEAF AVE,ES,42.01014998,-87.68444183,2
343,POINT (-87.67580971870045 41.93924749728656),610010,JAHN,3149 N WOLCOTT AVE,ES,41.9392475,-87.67580972,5
344,POINT (-87.6067910351881 41.76067263581724),610279,TANNER,7350 S EVANS AVE,ES,41.76067264,-87.60679104,69
345,POINT (-87.69600602219906 41.902849698067456),400131,YCCS - CAMPOS,2739 W DIVISION ST,HS,41.9028497,-87.69600602,24
346,POINT (-87.71801374322332 41.78052638742253),609741,HUBBARD HS,6200 S HAMLIN AVE,HS,41.78052639,-87.71801374,65
347,POINT (-87.81377123402885 41.99423795046112),610523,EDISON PARK,6220 N OLCOTT AVE,ES,41.99423795,-87.81377123,10
348,POINT (-87.73938835102535 41.93251058360826),609789,BARRY,2828 N KILBOURN AVE,ES,41.93251058,-87.73938835,20
349,POINT (-87.71683185522139 41.95007775391796),610089,MURPHY,3539 W GRACE ST,ES,41.95007775,-87.71683186,16
350,POINT (-87.59062038514651 41.656289952193475),609760,CARVER MILITARY HS,13100 S DOTY AVE,HS,41.65628995,-87.59062039,54
351,POINT (-87.64557693592369 41.9068787954093),400170,NOBLE - ACADEMY HS,1443 N OGDEN AVE,HS,41.9068788,-87.64557694,8
352,POINT (-87.76560565853235 41.89766257243135),609830,BRUNSON,932 N CENTRAL AVE,ES,41.89766257,-87.76560566,25
353,POINT (-87.76658937770821 41.88552958057412),609904,ELLINGTON,243 N PARKSIDE AVE,ES,41.88552958,-87.76658938,25
354,POINT (-87.5728059549734 41.76860231267836),610103,OKEEFFE,6940 S MERRILL AVE,ES,41.76860231,-87.57280595,43
355,POINT (-87.70685988381366 41.90157240748982),400126,YCCS - ASSOCIATION HOUSE,1116 N KEDZIE AVE,HS,41.90157241,-87.70685988,23
356,POINT (-87.6398265134838 41.90824688238974),610048,MANIERRE,1420 N HUDSON AVE,ES,41.90824688,-87.63982651,8
357,POINT (-87.60647384690459 41.6574049703926),609848,ALDRIDGE,630 E 131ST ST,ES,41.65740497,-87.60647385,54
358,POINT (-87.665093271982 41.90888612837884),610029,LOZANO,1501 N GREENVIEW AVE,ES,41.90888613,-87.66509327,24
359,POINT (-87.67092241918911 41.96074569259219),610141,RAVENSWOOD,4332 N PAULINA ST,ES,41.96074569,-87.67092242,6
360,POINT (-87.78783043795282 41.917951679822686),400120,ACERO - CLEMENTE,2050 N NATCHEZ AVE,ES,41.91795168,-87.78783044,19
361,POINT (-87.68304994191043 41.90681580989146),610342,SABIN,2216 W HIRSCH ST,ES,41.90681581,-87.68304994,24
362,POINT (-87.67024265730421 41.79404286449545),400024,CICS - BASIL,1816 W GARFIELD BLVD,ES,41.79404286,-87.67024266,61
363,POINT (-87.6777625168446 42.017087591807844),609865,JORDAN,7414 N WOLCOTT AVE,ES,42.01708759,-87.67776252,1
364,POINT (-87.6856678426575 41.84921490597004),609967,FINKL,2332 S WESTERN AVE,ES,41.84921491,-87.68566784,31
365,POINT (-87.65820483630587 41.765075896509245),610223,WENTWORTH,1340 W 71ST ST,ES,41.7650759,-87.65820484,67
366,POINT (-87.62853090073666 41.855999105219354),400064,PERSPECTIVES - JOSLIN HS,1930 S ARCHER AVE,HS,41.85599911,-87.6285309,33
367,POINT (-87.68794642783529 41.90284075724158),610594,PATHWAYS - HUMBOLDT PARK HS,2421 W DIVISION ST,HS,41.90284076,-87.68794643,24
368,POINT (-87.66585003699531 41.98345579233339),610122,PEIRCE,1423 W BRYN MAWR AVE,ES,41.98345579,-87.66585004,77
369,POINT (-87.65372653786373 41.69196931444993),400147,CAMELOT - EXCEL HS,1257 W 111TH ST,HS,41.69196931,-87.65372654,75
370,POINT (-87.57635263778303 41.75879166335072),610547,SOUTH SHORE INTL HS,1955 E 75TH ST,HS,41.75879166,-87.57635264,43
371,POINT (-87.64334423561355 41.81330372972011),609947,GRAHAM ES,4436 S UNION AVE,ES,41.81330373,-87.64334424,61
372,POINT (-87.76184047442766 41.99943683361062),609901,EDGEBROOK,6525 N HIAWATHA AVE,ES,41.99943683,-87.76184047,12
373,POINT (-87.67068239047407 41.88299678494884),609812,BROWN W,54 N HERMITAGE AVE,ES,41.88299678,-87.67068239,28
374,POINT (-87.6775418500361 41.82777491358402),610504,THOMAS,3625 S HOYNE AVE,ES,41.82777491,-87.67754185,59
375,POINT (-87.78197453752605 41.958868036399984),610179,SMYSER,4310 N MELVINA AVE,ES,41.95886804,-87.78197454,15
376,POINT (-87.64110257531908 41.829992863516026),610062,MCCLELLAN,3527 S WALLACE ST,ES,41.82999286,-87.64110258,60
377,POINT (-87.7305663846437 41.88410224207402),610202,TILTON,223 N KEELER AVE,ES,41.88410224,-87.73056638,26
378,POINT (-87.64641313678547 41.92984985280904),609774,ALCOTT ES,2625 N ORCHARD ST,ES,41.92984985,-87.64641314,7
379,POINT (-87.65363344706351 41.74245162733184),610003,CUFFE,8324 S RACINE AVE,ES,41.74245163,-87.65363345,71
380,POINT (-87.75454995057399 41.90682605025648),610036,LEWIS,1431 N LEAMINGTON AVE,ES,41.90682605,-87.75454995,25
381,POINT (-87.68696021818225 41.87911823188259),610304,PHOENIX MILITARY HS,145 S CAMPBELL AVE,HS,41.87911823,-87.68696022,28
382,POINT (-87.60117440803562 41.74018379104356),610268,ASHE,8505 S INGLESIDE AVE,ES,41.74018379,-87.60117441,44
383,POINT (-87.69323838454852 41.81310944519376),400153,ACERO - BRIGHTON PARK,4420 S FAIRFIELD AVE,ES,41.81310945,-87.69323838,58
384,POINT (-87.76578057130266 41.92131758250094),610533,PRIETO,2231 N CENTRAL AVE,ES,41.92131758,-87.76578057,19
385,POINT (-87.73431332380251 41.84139380418136),609973,ZAPATA,2728 S KOSTNER AVE,ES,41.8413938,-87.73431332,30
386,POINT (-87.70644464861839 41.7644070759518),610396,TARKINGTON,3330 W 71ST ST,ES,41.76440708,-87.70644465,66
387,POINT (-87.6689526895783 41.95476406804103),609719,LAKE VIEW HS,4015 N ASHLAND AVE,HS,41.95476407,-87.66895269,6
388,POINT (-87.61614052358688 41.796759564523725),609819,BURKE,5356 S KING DR,ES,41.79675956,-87.61614052,40
389,POINT (-87.68330134658414 41.87694744398223),610561,CRANE MEDICAL HS,2245 W JACKSON BLVD,HS,41.87694744,-87.68330135,28
390,POINT (-87.59933993995391 41.80969549635739),400137,LITTLE BLACK PEARL HS,1060 E 47TH ST,HS,41.8096955,-87.59933994,39
391,POINT (-87.6847927859336 41.995359051781186),610191,STONE,6239 N LEAVITT ST,ES,41.99535905,-87.68479279,2
392,POINT (-87.65301778634654 41.76536056649218),610238,BOND,7050 S MAY ST,ES,41.76536057,-87.65301779,68
393,POINT (-87.5455798928106 41.733333133628754),400107,LEARN - SOUTH CHICAGO,8914 S BUFFALO AVE,ES,41.73333313,-87.54557989,46
394,POINT (-87.69835995431193 41.992541360341484),609859,CLINTON,6110 N FAIRFIELD AVE,ES,41.99254136,-87.69835995,2
395,POINT (-87.65798012768782 41.856028723298124),609872,PEREZ,1241 W 19TH ST,ES,41.85602872,-87.65798013,31
396,POINT (-87.80668177210937 42.01717123978811),610569,OMBUDSMAN - NORTHWEST HS,7500 N HARLEM AVE,HS,42.01717124,-87.80668177,9
397,POINT (-87.71338625327853 41.973185048905286),609737,VON STEUBEN HS,5039 N KIMBALL AVE,HS,41.97318505,-87.71338625,13
398,POINT (-87.6173904556927 41.710434949222304),609800,BENNETT,10115 S PRAIRIE AVE,ES,41.71043495,-87.61739046,49
399,POINT (-87.74112862663205 41.93898842845496),400162,INTRINSIC HS,4540 W BELMONT AVE,HS,41.93898843,-87.74112863,16
400,POINT (-87.74572605686264 41.80817500004231),609981,HEARST,4640 S LAMON AVE,ES,41.808175,-87.74572606,56
401,POINT (-87.70500578053792 41.797498203127596),610157,SAWYER,5248 S SAWYER AVE,ES,41.7974982,-87.70500578,63
402,POINT (-87.67220640215814 41.80234286831759),610239,DALEY,5024 S WOLCOTT AVE,ES,41.80234287,-87.6722064,61
403,POINT (-87.63757205079293 41.689950725323996),609705,FENGER HS,11220 S WALLACE ST,HS,41.68995073,-87.63757205,49
404,POINT (-87.64133980575546 41.84440015891535),610081,SHERIDAN,533 W 27TH ST,ES,41.84440016,-87.64133981,60
405,POINT (-87.71820414376175 41.93572646709451),400172,ASPIRA - BUSINESS & FINANCE HS,2989 N. MILWAUKEE AVE,HS,41.93572647,-87.71820414,21
406,POINT (-87.74933062513716 41.93578457379596),609910,FALCONER,3020 N LAMON AVE,ES,41.93578457,-87.74933063,19
407,POINT (-87.76898261875856 41.94301889601994),610145,REINBERG,3425 N MAJOR AVE,ES,41.9430189,-87.76898262,15
408,POINT (-87.71792663519547 41.90379211793488),609835,CAMERON,1234 N MONTICELLO AVE,ES,41.90379212,-87.71792664,23
409,POINT (-87.71136992132556 41.793479330048626),610532,HERNANDEZ,3510 W 55TH ST,ES,41.79347933,-87.71136992,63
410,POINT (-87.68318458635757 41.89208216607998),610073,MITCHELL,2233 W OHIO ST,ES,41.89208217,-87.68318459,24
411,POINT (-87.59750293094844 41.81117346246991),609951,ARIEL,1119 E 46TH ST,ES,41.81117346,-87.59750293,39
412,POINT (-87.60172726635132 41.75374795595449),609712,HIRSCH HS,7740 S INGLESIDE AVE,HS,41.75374796,-87.60172727,69
413,POINT (-87.67521045891124 41.857754809857546),610329,OROZCO,1940 W 18TH ST,ES,41.85775481,-87.67521046,31
414,POINT (-87.6928996958229 41.92283100742748),609942,GOETHE,2236 N ROCKWELL ST,ES,41.92283101,-87.6928997,22
415,POINT (-87.69601207512642 41.742516626560295),609839,CARROLL,2929 W 83RD ST,ES,41.74251663,-87.69601208,70
416,POINT (-87.7218246651986 41.96640566801435),400017,ASPIRA - HAUGAN,3729 W LELAND AVE,ES,41.96640567,-87.72182467,14
417,POINT (-87.67554666011671 41.781225173325026),609897,EARLE,2040 W 62ND ST,ES,41.78122517,-87.67554666,67
418,POINT (-87.57535254879305 41.72676290909313),610218,WARREN,9239 S JEFFERY AVE,ES,41.72676291,-87.57535255,48
419,POINT (-87.61833765366826 41.83652695393429),610126,PERSHING,3200 S CALUMET AVE,ES,41.83652695,-87.61833765,35
420,POINT (-87.73266645520346 41.786895377446534),610117,PASTEUR,5825 S KOSTNER AVE,ES,41.78689538,-87.73266646,62
421,POINT (-87.68089678721273 41.69302600642279),609861,CLISSOLD,2350 W 110TH PL,ES,41.69302601,-87.68089679,75
422,POINT (-87.72713735988862 41.93818660325618),400125,YCCS - ASPIRA PANTOJA,3121 N PULASKI RD,HS,41.9381866,-87.72713736,21
423,POINT (-87.7177696726804 41.691220742563665),609753,CHICAGO AGRICULTURE HS,3857 W 111TH ST,HS,41.69122074,-87.71776967,74
424,POINT (-87.70068059995432 41.86414584319289),400059,NLCP - COLLINS HS,1313 S SACRAMENTO DR,HS,41.86414584,-87.7006806,29
425,POINT (-87.5939049415999 41.80429401663082),610175,SHOESMITH,1330 E 50TH ST,ES,41.80429402,-87.59390494,39
426,POINT (-87.53297076749375 41.71547037612647),610198,TAYLOR,9912 S AVENUE H,ES,41.71547038,-87.53297077,52
427,POINT (-87.61977966040409 41.827355266814315),610110,WELLS ES,249 E 37TH ST,ES,41.82735527,-87.61977966,35
428,POINT (-87.72665959049039 41.89454671958924),610389,ORR HS,730 N PULASKI RD,HS,41.89454672,-87.72665959,23
429,POINT (-87.59042088944337 41.80377211930721),609746,KENWOOD HS,5015 S BLACKSTONE AVE,HS,41.80377212,-87.59042089,39
430,POINT (-87.71574357178713 41.858883446948504),610254,DVORAK,3615 W 16TH ST,ES,41.85888345,-87.71574357,29
431,POINT (-87.64699403793747 41.68103137030478),610295,HIGGINS,11710 S MORGAN ST,ES,41.68103137,-87.64699404,53
432,POINT (-87.71021700195347 41.90651959146119),610044,LOWELL,3320 W HIRSCH ST,ES,41.90651959,-87.710217,23
433,POINT (-87.70020216025388 41.821851614576545),609876,DAVIS N,3014 W 39TH PL,ES,41.82185161,-87.70020216,58
434,POINT (-87.64281614884685 41.695105264286916),610593,OMBUDSMAN - ROSELAND HS,10928 S HALSTED ST,HS,41.69510526,-87.64281615,75
435,POINT (-87.62174596835754 41.771620359866894),609813,BROWNELL,6741 S MICHIGAN AVE,ES,41.77162036,-87.62174597,69
436,POINT (-87.67682117256561 41.71144507127064),610195,SUTHERLAND,10015 S LEAVITT ST,ES,41.71144507,-87.67682117,72
437,POINT (-87.7596751723313 41.91726640948676),400169,NOBLE - ITW SPEER HS,5321 W GRAND AVE,HS,41.91726641,-87.75967517,19
438,POINT (-87.66496913282975 41.8685758793959),610548,STEM,1522 W FILLMORE ST,ES,41.86857588,-87.66496913,28
439,POINT (-87.62930832982723 41.852799770339956),610231,NATIONAL TEACHERS,55 W CERMAK RD,ES,41.85279977,-87.62930833,33
440,POINT (-87.64979535547374 41.793787649438364),609997,HOLMES,955 W GARFIELD BLVD,ES,41.79378765,-87.64979536,68
441,POINT (-87.7352375558781 41.91167369288696),609691,NORTH-GRAND HS,4338 W WABANSIA AVE,HS,41.91167369,-87.73523756,23
442,POINT (-87.69731553741045 41.847940716302794),610017,SAUCEDO,2850 W 24TH BLVD,ES,41.84794072,-87.69731554,30
443,POINT (-87.74927555445296 41.87358678099432),610305,LELAND,512 S LAVERGNE AVE,ES,41.87358678,-87.74927555,25
444,POINT (-87.66603693424409 41.80714283144552),610148,CHAVEZ,4747 S MARSHFIELD AVE,ES,41.80714283,-87.66603693,61
445,POINT (-87.75756503917472 41.972393945500855),609796,BEAUBIEN,5025 N LARAMIE AVE,ES,41.97239395,-87.75756504,11
446,POINT (-87.66565754521265 41.69203500966705),609725,MORGAN PARK HS,1744 W PRYOR AVE,HS,41.69203501,-87.66565755,75
447,POINT (-87.73045044341188 41.80819980685667),400080,ACERO - TORRES,4248 W 47TH ST,ES,41.80819981,-87.73045044,57
448,POINT (-87.62569157850257 41.798464960073275),610246,BEASLEY,5255 S STATE ST,ES,41.79846496,-87.62569158,40
449,POINT (-87.65053854187906 41.67230940677972),610315,WHITE,1136 W 122ND ST,ES,41.67230941,-87.65053854,53
450,POINT (-87.76629755454928 41.87797883365061),610367,DEPRIEST,139 S PARKSIDE AVE,ES,41.87797883,-87.76629755,25
451,POINT (-87.68724015881875 41.84596658850674),400104,INSTITUTO - HEALTH,2520 S WESTERN AVE,HS,41.84596659,-87.68724016,31
452,POINT (-87.72661479995716 41.893805037570665),400180,KIPP - ONE,730 N PULASKI RD,ES,41.89380504,-87.7266148,23
453,POINT (-87.79623511406567 41.97635166409282),609937,GARVY,5225 N OAK PARK AVE,ES,41.97635166,-87.79623511,10
454,POINT (-87.67481841837021 42.01303148982041),400035,CHICAGO MATH & SCIENCE HS,7212 N CLARK ST,HS,42.01303149,-87.67481842,1
455,POINT (-87.60863289646443 41.78518281665164),609919,FISKE,6020 S LANGLEY AVE,ES,41.78518282,-87.6086329,42
456,POINT (-87.66713618981206 41.98902853931401),609730,SENN HS,5900 N GLENWOOD AVE,HS,41.98902854,-87.66713619,77
457,POINT (-87.73142009080482 41.91958145296649),610097,NIXON,2121 N KEELER AVE,ES,41.91958145,-87.73142009,20
458,POINT (-87.74881028902196 41.90224003228395),400144,YCCS - WESTSIDE HOLISTIC,4909 W DIVISION ST,HS,41.90224003,-87.74881029,25
459,POINT (-87.5943919955956 41.77336553232888),609977,WOODLAWN,6657 S KIMBARK AVE,ES,41.77336553,-87.594392,42
460,POINT (-87.7479358782032 41.891809751014755),610092,NASH,4837 W ERIE ST,ES,41.89180975,-87.74793588,25
461,POINT (-87.79935927031795 41.7738988160931),609893,DORE,7134 W 65TH ST,ES,41.77389882,-87.79935927,64
462,POINT (-87.75880329371451 41.77546426147371),609956,GRIMES,5450 W 64TH PL,ES,41.77546426,-87.75880329,64
463,POINT (-87.69959365143866 41.937475775933436),400082,ACERO - FUENTES,2845 W BARRY AVE,ES,41.93747578,-87.69959365,21
464,POINT (-87.6657210555144 41.74312177077341),400111,LEARN - PERKINS,1700 W 83RD ST,ES,41.74312177,-87.66572106,71
465,POINT (-87.66496784466547 41.95078051888631),609803,BLAINE,1420 W GRACE ST,ES,41.95078052,-87.66496784,6
466,POINT (-87.62531481526548 41.84967541789271),609769,GRAHAM HS,2347 S WABASH AVE,HS,41.84967542,-87.62531482,33
467,POINT (-87.72174231677369 41.91604463388632),609780,MARINE LEADERSHIP AT AMES HS,1920 N HAMLIN AVE,HS,41.91604463,-87.72174232,22
468,POINT (-87.67332725897175 41.80711213223905),609983,HEDGES,4747 S WINCHESTER AVE,ES,41.80711213,-87.67332726,61
469,POINT (-87.68329074267808 41.85290039518056),610129,PICKARD,2301 W 21ST PL,ES,41.8529004,-87.68329074,31
470,POINT (-87.65576813291764 41.72122143298515),400033,CICS - LONGWOOD,1309 W 95TH ST,HS,41.72122143,-87.65576813,73
471,POINT (-87.73529946931342 41.833507275209264),610383,SOCIAL JUSTICE HS,3120 S KOSTNER AVE,HS,41.83350728,-87.73529947,30
472,POINT (-87.70263467429587 41.940009280332085),610039,VON LINNE,3221 N SACRAMENTO AVE,ES,41.94000928,-87.70263467,21
473,POINT (-87.70506426006517 41.84095691154771),610215,MADERO,3202 W 28TH ST,ES,41.84095691,-87.70506426,30
474,POINT (-87.79872070511095 41.91415063009094),610158,SAYRE,1850 N NEWLAND AVE,ES,41.91415063,-87.79872071,25
475,POINT (-87.67948421494016 41.97506725668829),609695,AMUNDSEN HS,5110 N DAMEN AVE,HS,41.97506726,-87.67948421,4
476,POINT (-87.67218159329356 41.80977029709563),609993,LARA,4619 S WOLCOTT AVE,ES,41.8097703,-87.67218159,61
477,POINT (-87.65022144565326 41.79976620613379),610172,SHERMAN,1000 W 52ND ST,ES,41.79976621,-87.65022145,61
478,POINT (-87.63930546894748 41.71566535832625),610362,EVERS,9811 S LOWE AVE,ES,41.71566536,-87.63930547,73
479,POINT (-87.71601740733611 41.84848777069009),610024,CARDENAS,2345 S MILLARD AVE,ES,41.84848777,-87.71601741,30
480,POINT (-87.72542159519003 41.78382632211147),610588,RICHARDSON,6018 S KARLOV AVE,ES,41.78382632,-87.7254216,65
481,POINT (-87.7096096820418 41.742350567067255),610287,ASHBURN,8300 S ST LOUIS AVE,ES,41.74235057,-87.70960968,70
482,POINT (-87.66085886980439 41.89242501281074),400055,NOBLE - RAUNER HS,1337 W OHIO ST,HS,41.89242501,-87.66085887,24
483,POINT (-87.62834918762451 41.859740681236836),609990,SOUTH LOOP,1601 S DEARBORN ST,ES,41.85974068,-87.62834919,33
484,POINT (-87.70591720533335 42.002958994988134),610542,WEST RIDGE,6700 N WHIPPLE ST,ES,42.00295899,-87.70591721,2
485,POINT (-87.6429664835397 41.80751007176613),609735,TILDEN HS,4747 S UNION AVE,HS,41.80751007,-87.64296648,61
486,POINT (-87.63275698311773 41.82814532285343),610513,AIR FORCE HS,3630 S WELLS ST,HS,41.82814532,-87.63275698,34
487,POINT (-87.61688838172707 41.68443303870889),400028,CICS - PRAIRIE,11530 S PRAIRIE AVE,ES,41.68443304,-87.61688838,53
488,POINT (-87.66763900841302 41.7673901131907),400116,MONTESSORI ENGLEWOOD,6936 S HERMITAGE AVE,ES,41.76739011,-87.66763901,67
489,POINT (-87.66433930957471 41.85267013653239),609764,JUAREZ HS,1450 W CERMAK RD,HS,41.85267014,-87.66433931,31
490,POINT (-87.66098467184615 41.8742996386608),610060,JACKSON A,1340 W HARRISON ST,ES,41.87429964,-87.66098467,28
491,POINT (-87.55186171885538 41.74375308333441),609961,NINOS HEROES,8344 S COMMERCIAL AVE,ES,41.74375308,-87.55186172,46
492,POINT (-87.76100700350287 41.95698763741213),610135,PORTAGE PARK,5330 W BERTEAU AVE,ES,41.95698764,-87.761007,15
493,POINT (-87.7299552923998 41.73884394135667),610352,DURKIN PARK,8445 S KOLIN AVE,ES,41.73884394,-87.72995529,70
494,POINT (-87.69076139188921 41.94138764056509),610402,DEVRY HS,1900 W LAWRENCE AVE,HS,41.96908084,-87.67690759,4
495,POINT (-87.72478312355048 41.94002591405478),610541,LORCA,3231 N SPRINGFIELD AVE,ES,41.94002591,-87.72478312,21
496,POINT (-87.70805006976924 41.87844408594291),609723,MARSHALL HS,3250 W ADAMS ST,HS,41.87844409,-87.70805007,27
497,POINT (-87.66555862133832 41.72081703449543),610207,VANDERPOEL,9510 S PROSPECT AVE,ES,41.72081703,-87.66555862,72
498,POINT (-87.66399582958883 41.775367367670526),400071,PROVIDENCE ENGLEWOOD,6515 S ASHLAND AVE,ES,41.77536737,-87.66399583,67
499,POINT (-87.68567659787568 41.68819083818881),609871,VICK,2554 W 113TH ST,ES,41.68819084,-87.6856766,75
500,POINT (-87.81419465453426 42.01689164143097),610163,STOCK,7507 W BIRCHWOOD AVE,ES,42.01689164,-87.81419465,9
501,POINT (-87.70321548827793 41.687347055369614),609849,CASSELL,11314 S SPAULDING AVE,ES,41.68734706,-87.70321549,74
502,POINT (-87.68363453081969 41.783026581393415),610570,OMBUDSMAN - SOUTH HS,6057 S. WESTERN AVE,HS,41.78302658,-87.68363453,66
503,POINT (-87.60943096742844 41.68881935296746),610139,PULLMAN,11311 S FORRESTVILLE AVE,ES,41.68881935,-87.60943097,50
504,POINT (-87.68406493864751 41.84544601584804),400164,INSTITUTO - LOZANO HS,2570 S BLUE ISLAND AVE,HS,41.84544602,-87.68406494,31
505,POINT (-87.60248144780245 41.798001878355684),610030,KOZMINSKI,936 E 54TH ST,ES,41.79800188,-87.60248145,41
506,POINT (-87.68575620384061 41.905293853976055),610313,DE DIEGO,1313 N CLAREMONT AVE,ES,41.90529385,-87.6857562,24
507,POINT (-87.61661794406352 41.81435828347576),610276,MOLLISON,4415 S DR MARTIN L KING JR DR,ES,41.81435828,-87.61661794,38
508,POINT (-87.62773414584957 41.8830471723943),400133,YCCS - INNOVATIONS,17 N. STATE ST.,HS,41.88304717,-87.62773415,32
509,POINT (-87.6399736042198 41.69649616370618),610188,DUNNE,10845 S UNION AVE,ES,41.69649616,-87.6399736,49
510,POINT (-87.7087312844705 41.753457193441676),609807,HAMPTON,3434 W 77TH ST,ES,41.75345719,-87.70873128,70
511,POINT (-87.76766845555305 41.89036862981543),610245,DOUGLASS HS,543 N WALLER AVE,HS,41.89036863,-87.76766846,25
512,POINT (-87.62986865963941 41.705342321933195),610368,HUGHES L,240 W 104TH ST,ES,41.70534232,-87.62986866,49
513,POINT (-87.70817918402533 41.787523230052464),610203,TONTI,5815 S HOMAN AVE,ES,41.78752323,-87.70817918,63
514,POINT (-87.69245662922022 41.82886790732714),609829,BURROUGHS,3542 S WASHTENAW AVE,ES,41.82886791,-87.69245663,58
515,POINT (-87.60257331720778 41.706666859095016),400156,NOBLE - BUTLER HS,821 E 103RD ST,HS,41.70666686,-87.60257332,50
516,POINT (-87.65993281794726 41.79768483257736),610037,LIBBY,5300 S LOOMIS BLVD,ES,41.79768483,-87.65993282,61
517,POINT (-87.66737776498864 41.80351471627292),610386,PEACE AND EDUCATION HS,4946 S PAULINA ST,HS,41.80351472,-87.66737776,61
518,POINT (-87.70028031259817 41.91503854790585),610234,YATES,1839 N RICHMOND ST,ES,41.91503855,-87.70028031,22
519,POINT (-87.72393113203229 41.91481634183527),609968,MCAULIFFE,1841 N SPRINGFIELD AVE,ES,41.91481634,-87.72393113,20
520,POINT (-87.62478771975206 41.82778385747586),400066,PERSPECTIVES - MATH & SCI HS,3663 S WABASH AVE,HS,41.82778386,-87.62478772,35
521,POINT (-87.75711559858576 41.948763579565934),609949,GRAY,3730 N LARAMIE AVE,ES,41.94876358,-87.7571156,15
522,POINT (-87.66772404347273 41.825699760024946),400050,NAMASTE,3737 S PAULINA ST,ES,41.82569976,-87.66772404,59
523,POINT (-87.62334458925658 41.76249026426022),609883,DENEEN,7240 S WABASH AVE,ES,41.76249026,-87.62334459,69
524,POINT (-87.66748286895526 41.898994707797996),609740,WELLS HS,936 N ASHLAND AVE,HS,41.89899471,-87.66748287,24
525,POINT (-87.70052941983774 41.984640776743795),610011,JAMIESON,5650 N MOZART ST,ES,41.98464078,-87.70052942,2
526,POINT (-87.61921444365747 41.7345499083735),610066,MCDADE,8801 S INDIANA AVE,ES,41.73454991,-87.61921444,44
527,POINT (-87.65807422405454 41.70513101208921),609788,BARNARD,10354 S CHARLES ST,ES,41.70513101,-87.65807422,72
528,POINT (-87.69739409699162 41.80830882462762),400089,ACERO - MARQUEZ,2916 W 47TH ST,ES,41.80830882,-87.6973941,58
529,POINT (-87.70264475133739 41.80822578590752),400173,PATHWAYS - BRIGHTON PARK HS,3124 W. 47TH STREET,HS,41.80822579,-87.70264475,58
530,POINT (-87.70018447218848 41.84774672275192),610184,SPRY ES,2400 S MARSHALL BLVD,ES,41.84774672,-87.70018447,30
531,POINT (-87.78963033156606 41.9701248831647),610083,BEARD,6445 W STRONG ST,ES,41.97012488,-87.78963033,10
532,POINT (-87.68690614584494 41.90262579239755),609759,CLEMENTE HS,1147 N WESTERN AVE,HS,41.90262579,-87.68690615,24
533,POINT (-87.7808397551018 41.789961252949645),609718,KENNEDY HS,6325 W 56TH ST,HS,41.78996125,-87.78083976,56
534,POINT (-87.64546949689041 41.75467006288245),610102,OGLESBY,7646 S GREEN ST,ES,41.75467006,-87.6454695,71
535,POINT (-87.6987387197961 41.87786063190466),400047,LEARN - CAMPBELL,212 S FRANCISCO AVE,ES,41.87786063,-87.69873872,27
536,POINT (-87.68135796493904 41.92241462993688),400025,CICS - BUCKTOWN,2235 N HAMILTON AVE,ES,41.92241463,-87.68135796,22
537,POINT (-87.73377838309736 41.88173275921462),400119,LEGAL PREP HS,4319 W WASHINGTON BLVD,HS,41.88173276,-87.73377838,26
538,POINT (-87.60841876846963 41.8144987957931),610345,WOODSON,4414 S EVANS AVE,ES,41.8144988,-87.60841877,38
539,POINT (-87.61178404264491 41.81800340373519),609928,FULLER,4214 S ST LAWRENCE AVE,ES,41.8180034,-87.61178404,38
540,POINT (-87.62767532290779 41.873065923638116),609678,JONES HS,700 S STATE ST,HS,41.87306592,-87.62767532,32
541,POINT (-87.55022236949605 41.744849106383384),400094,EPIC HS,8255 S HOUSTON AVE,HS,41.74484911,-87.55022237,46
542,POINT (-87.75792050928045 41.920610971314126),610051,NORTHWEST,5252 W PALMER ST,ES,41.92061097,-87.75792051,19
543,POINT (-87.69456225148969 41.91799265365567),609853,CHASE,2021 N POINT ST,ES,41.91799265,-87.69456225,22
544,POINT (-87.68376530075341 41.955553195526804),609866,COONLEY,4046 N LEAVITT ST,ES,41.9555532,-87.6837653,5
